feeds,label,format,name
https://mashable.com/feeds/rss/all,marketing,website,Mashable
http://fetchrss.com/rss/6414305008f26050a0014963645cff01a794db315f228a73.xml,startups,website,First Round Review
https://www.techpluto.com/rss,marketing,website,TechPluto
https://siliconcanals.com/rss,marketing,website,Silicon Canals
https://techfundingnews.com/rss,marketing,website,Tech Funding News
https://feeds.feedburner.com/venturebeat/SZYF,marketing,website,VentureBeat
https://www.entrepreneur.com/latest.rss,marketing,website,Entrepreneur
http://fetchrss.com/rss/6414305008f26050a0014963645e30dea188392e05707a22.xml,marketing,website,Insider Intelligence
http://fetchrss.com/rss/6414305008f26050a0014963645e3426516a9d4e7d71e343.xml,marketing,podcast,The Marketing Book Podcast
http://fetchrss.com/rss/6414305008f26050a0014963645e3eb37309bf5e5c5e86a2.xml,marketing,website,MarTech
https://rss.searchenginejournal.com/,marketing,website,Search Engine Journal
https://socialmediamarketing.libsyn.com/rss,marketing,podcast,Social Media Marketing Podcast
https://contentmarketinginstitute.com/feed/,marketing,newsletter,Content Marketing Institute
http://fetchrss.com/rss/6414305008f26050a0014963645e43b8d9645a202c3b5842.xml,marketing,podcast,Marketing Over Coffee
http://fetchrss.com/rss/6414305008f26050a0014963646e7967ff2ac06306551b42.xml,media,website,American Journalism Project
http://fetchrss.com/rss/6414305008f26050a0014963647da34441564d41a56bc092.xml,startups,website,The Logic
http://fetchrss.com/rss/6414305008f26050a0014963647da34441564d41a56bc092.xml,ainews,website,The Logic
http://fetchrss.com/rss/6414305008f26050a0014963647da34441564d41a56bc092.xml,impact,website,The Logic
http://fetchrss.com/rss/6414305008f26050a0014963647da34441564d41a56bc092.xml,crypto,website,The Logic
http://fetchrss.com/rss/6414305008f26050a0014963647db06d2e7b286fb57910a2.xml,ainews,newsletter,The Boost
https://duuce.substack.com/feed,media,newsletter,Duuce
http://feeds2.feedburner.com/TVSeriesFinale-complete,tvshows,website,TVSeriesFinale.com
https://www.theverge.com/rss/index.xml,tvshows,website,The Verge
https://www.radiotimes.com/feed/atom/,tvshows,website,RadioTimes
https://www.thewrap.com/category/tv/rss,tvshows,website,The Wrap
https://decider.com/feed/,tvshows,website,Decider
http://fetchrss.com/rss/6414305008f26050a00149636491673b02ba113b2a17b503.xml,tvshows,website,Deadline
